nombre,tipo,direccion,telefono,redesSociales,horario,menues_especiales,tiendaOnline,extras,imagen,latitud,longitud
AL FINAL CHORIZO,Comidas rápidas,Calle 4 Nº 4053,(02262) 15366688,IG: alfinalchorizo,"De lunes a jueves y domingo de 11 a 15.30 horas y de 19 a 00 horas. Viernes y sábado de 11 a 15.30 horas y de 19 a 07 horas.",vegano | vegetariano,https://www.laviejaestacion.com.ar/,mascotas,https://files.catbox.moe/fhgglt.JPG,-38.575000,-58.735000
ALQUIMIA BROTHERS,"Cervecerìa | Picadas | Tapas | Restobar",Diagonal San Martìn Nº 608,(02262) 15607202,IG: alquimiabrothers.diagonal,"De martes a sabados de 18 a 02 horas. Domingos de 19 a 23 horas.",vegetariano | sin tacc,https://www.laviejaestacion.com.ar/,wifi,https://files.catbox.moe/fhgglt.JPG,-38.576000,-58.736000
ANTARES,"Cervecerìa | Picadas | Tapas | Restobar",Calle 4 Nº 4266,"(02262) 15335260 | 421976","FB: antares_necochea | IG: antares_necochea | X: antares_necochea","De miércoles a domingo desde 19 horas.",vegano | vegetariano | infantil | hipertensos | diabeticos | sin tacc,https://www.laviejaestacion.com.ar/,"mascotas | wifi",https://files.catbox.moe/fhgglt.JPG,-38.577000,-58.737000
AZVR,"Restobar | Cafe",Calle 87 N° 335,"(02262) 432929 | 432323",,"De martes a sabados de 19.30 a 23.30 horas. Lunes y domingo cerrado.",vegano | vegetariano | infantil | hipertensos | diabeticos | sin tacc,https://www.laviejaestacion.com.ar/,"wifi | estacionamiento",https://files.catbox.moe/fhgglt.JPG,-38.578000,-58.738000
BALCARCE PLAYA ,"Cafe - bar | Tienda de postres",Calle 4 Nº 4035,(02262) 15252409,"IG: balcarce_cafe_ | FB: balcarceplaya","Todos los dias de 08 a 21 horas.",vegetariano | infantil,https://www.laviejaestacion.com.ar/,"wifi",https://files.catbox.moe/fhgglt.JPG,-38.579000,-58.739000
BARHAUS,"Cerveceria | Hamburguesas",Av. 91 y calle 28,(02262) 15336914,IG: barhaus.cerveceria,"De miercoles a lunes de 19 a 00 horas.",vegano | vegetariano | infantil | sin tacc,https://www.laviejaestacion.com.ar/,"wifi",https://files.catbox.moe/fhgglt.JPG,-38.580000,-58.740000
BLESS,"Cerveceria | Tapas | Picadas",Calle 81 Nº 302,(02262) 15316768,IG: blessnecochea,,vegetariano | vegano | infantil | diabetico,,wifi,-38.581000,-58.741000
BODEGON EL LOCO IGLESIAS,"Pescados y Mariscos | Restaurante | Rotiseria",Av. 59 Nº 225,(02262) 15422262,IG: bodegonelloco,"lunes, miercoles a domingo de 11 a 15 horas | jueves a sabado de 19.30 a 00.00 horas | martes cerrado",vegano | vegetariano | infantil | hipertenso | sin tacc,,wifi,-38.582000,-58.742000
BONAFIDE,"Cafe - bar | Chocolates",Calle 64 Nº 2889,(0223) 15231835,"FB: bonafide necochea | IG: bonafidenecochea","De lunes a sabados de 08 a 13 horas y de 16 a 20.30 horas.",vegetariano | hipertensos | sin tacc,,wifi,-38.583000,-58.743000
BROTHERS,"Comidas rapidas | Restobar",Calle 62 Nº 3295,"(02262) 15524808 | (02262) 601984","FB: brothers b&b | IG: brothers_necochea","De lunes a domingo de 19.30 a 00 horas.",vegano | vegetariano | infantil | sin tacc,,wifi,-38.584000,-58.744000
CANTINA CENTRO VASCO,"Pescados y Mariscos | Restaurante | Rotiseria",Calle 65 Nº 2639,(02262) 15518504,"FB: cantina centro vasco | IG: cantina_centro_basko","De martes al sabado de mediodia y noche. Domingo cerrado.",vegano | vegetariano | infantil | hipertensos | diabeticos | sin tacc,,wifi,-38.585000,-58.745000
CANTINA EL MUELLE ,"Restobar",Av. Jesuita Cardiel y calle 62,(02262) 15474578,IG: cantina_elmuelle,"Todos los dias de 09 a 18 horas",vegetariano | sin tacc,,wifi,-38.586000,-58.746000
CANTINA RIBEREÑA,"Variado",Calle 22 y Ribera Rio Quequen,(02262) 421562 | 428068,IG: cantinarioquequen,"viernes y sabados mediodia y noche | domingo al mediodia",vegano | vegetariano | hipertenso | infantil | diabetico | sin tacc,,wifi,-38.587000,-58.747000
CANTINA VENEZIA,"Pescados y Mariscos | Internacional | Pastas",Av. 59 Nº 259,(02262) 424014,"IG: cantinavenezia | FB: cantinavenezia","De miercoles a sabado desde 20 horas",vegano | vegetariano | hipertensos | diabeticos | sin tacc,,wifi,-38.588000,-58.748000
CATALINA,"Parrilla | Variado",Calle 4 Nº 4311,"(02262) 15635272 | 15335333","FB: catalina parrilla & cocina | IG: parrillacatalina","Todos los dias desde 20 horas . Sabado, domingo y feriados mediodia y noche",sin tacc,,wifi,-38.589000,-58.749000
CHICHA,"Restaurante",Calle 537 y 506,(02262) 15666611,IG: chicha.qqn,"De miércoles a domingo desde las 20 horas.",vegano | vegetariano | infantil | hipertensos | diabeticos | sin tacc,,,,-38.590000,-58.750000
CHINO`S,"Cafe - bar | Heladeria",Av. 59 y calle 64,(02262) 411114,IG: heladoschinosoficial,"Todos los dias desde 11 horas | Lunes a jueves cierran a las 02 horas | Viernes cierran a las 03.30 horas | Saados cierran a las 04 horas y Domingo 02.30 horas.",vegetariano | sin tacc,,wifi,-38.591000,-58.751000
